handle	mmRating	submissionID	submissionDate	ProvisionalScore	ProgramLang
kphmd	1878	11	02.18.2015 06:09:19	800149.91	Java
kphmd	1878	10	02.18.2015 05:25:18	643564.55	Java
kphmd	1878	9	02.18.2015 04:41:27	805403.31	Java
kphmd	1878	8	02.18.2015 03:05:03	577765.48	Java
kphmd	1878	7	02.18.2015 01:28:08	748541.49	Java
kphmd	1878	6	02.17.2015 22:07:12	799231.12	Java
kphmd	1878	5	02.17.2015 01:08:25	805403.31	Java
kphmd	1878	4	02.16.2015 22:33:15	604516.66	Java
kphmd	1878	3	02.16.2015 12:18:57	662237.54	Java
kphmd	1878	2	02.15.2015 19:47:16	805403.31	Java
kphmd	1878	1	02.14.2015 08:35:17	794084.93	Java
