Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
yfalah,1484,4,25.75,6.25,15,0,0,0,67,75.9857,385,1328,1597,8,Child Stuntedness 5,2/19/2015,279,18,,0
sakaark,,,,,,0,0,0,,,,,,,,,279,0,,0
Ironhawks,,,,,,0,0,0,,,,,,,,,279,0,,0
all_random,1608,1,17,52,17,0,0,0,55,80.2867,385,1608,1608,1,Trip Safety,1/26/2015,279,4,,0
kpoxa2l,1103,2,30,3,23,0,0,0,151,45.8781,313,1033,1103,13,Child Stuntedness 5,2/19/2015,279,18,,0
Jumping John,1841,14,62.57142857,6.142857143,5,0,1,3,,,296,1734,1928,,TCO11 Round 2,6/1/2011,279,0,,0
haipt81,1449,10,14.4,10.9,1,1,3,5,70,74.9104,276,1369,1449,2,Facial Emotions,12/9/2014,279,4,,0
d_jash,918,20,95.7,3.85,2,0,2,2,,,274,673,943,,Marathon Match,8/11/2014,279,0,,0
RobinWang,,,,,,0,0,0,,,,,,,,,279,0,,0
ecv,1927,55,26.36363636,7.054545455,1,5,13,24,,,391,1365,2465,,TCO14 Round 3,6/25/2014,279,0,,0
net_buster,1152,23,152.2608696,4.043478261,9,0,0,1,139,50.1792,242,834,1152,12,Active Molecules,12/29/2014,279,16,,0
Nil_ct,1365,33,94.12121212,8.454545455,9,0,0,1,,,232,901,1469,,TCO13 Round 3,6/5/2013,279,0,,0
ksma,1228,16,90.6875,6.0625,16,0,0,0,,,447,1228,1660,,TCO14 Round 1,4/9/2014,279,0,,0
Infinity.,1472,3,149.6666667,2.666666667,16,0,0,0,,,563,889,1472,,TCO14 Round 3,6/25/2014,279,0,,0
V[i]ctor,681,2,96.5,0.5,76,0,0,0,,,408,681,902,,MM 47,12/31/2008,279,0,,0
zizo0003,774,19,108.5263158,2,18,0,0,0,,,304,703,1284,,TCO14 Round 3,6/25/2014,279,0,,0
sabbathist,,,44,14,44,0,0,0,,,,,,,,,279,0,,0
madbn,1442,1,20,6,20,0,0,0,73,73.8351,385,1442,1442,1,Child Stuntedness 3,12/4/2014,279,4,,0
PaxosMyth,,,,,,0,0,0,,,,,,,,,279,0,,0
alinionut.popa,,,,,,0,0,0,,,,,,,,,279,0,,0
SePulTribe,1192,1,65.5,1,62,0,0,0,,,385,1192,1192,,MM 8,12/6/2006,279,0,,0
halyavin,1961,39,39.95238095,3.476190476,1,3,6,14,,,247,1572,2106,,GWASSpeedup,4/24/2013,279,0,,0
mln,1181,4,109.6666667,2.5,30,0,0,0,131,53.0466,349,906,1181,1,Child Stuntedness 5,2/19/2015,279,2,,0
bohuss,1322,42,118.3809524,4.69047619,3,0,1,1,,,228,889,1391,,TCO14 Round 2,5/21/2014,279,0,,0
