MaxCost 	 MinTurkers 	 MinAcceptance 	 MaxRejection 	 AverageCost 	 AverageF
1078	4	0.5	0.30000000000000004	1079.0	0.7361024
1078	4	0.6	0.0	1079.0	0.7248046
1078	4	0.6	0.1	1079.0	0.7359865
1078	4	0.6	0.2	1079.0	0.73592216
1078	4	0.6	0.30000000000000004	1079.0	0.7240183
1078	4	0.6	0.4	1079.0	0.72900677
1078	4	0.7	0.0	1079.0	0.7061785
1078	4	0.7	0.1	1079.0	0.7169474
1078	4	0.7	0.2	1079.0	0.70636725
1078	4	0.7	0.30000000000000004	1079.0	0.70275587
1078	4	0.7	0.4	1079.0	0.7132185
1078	4	0.7	0.5	1079.0	0.7167923
1078	4	0.7999999999999999	0.0	1079.0	0.6947189
1078	4	0.7999999999999999	0.1	1079.0	0.70414144
1078	4	0.7999999999999999	0.2	1079.0	0.6978791
1078	4	0.7999999999999999	0.30000000000000004	1079.0	0.70272344
1078	4	0.7999999999999999	0.4	1079.0	0.69934076
1078	4	0.7999999999999999	0.5	1079.0	0.6912651
1078	4	0.7999999999999999	0.6	1079.0	0.7027003
1078	4	0.8999999999999999	0.0	1079.0	0.68798965
1078	4	0.8999999999999999	0.1	1079.0	0.6948238
1078	4	0.8999999999999999	0.2	1079.0	0.68832
1078	4	0.8999999999999999	0.30000000000000004	1079.0	0.702429
1078	4	0.8999999999999999	0.4	1079.0	0.69436955
1078	4	0.8999999999999999	0.5	1079.0	0.7054436
1078	4	0.8999999999999999	0.6	1079.0	0.6941922
1078	4	0.8999999999999999	0.7	1079.0	0.6912194
1078	4	0.9999999999999999	0.0	1079.0	0.6993163
1078	4	0.9999999999999999	0.1	1079.0	0.69093686
1078	4	0.9999999999999999	0.2	1079.0	0.6928136
1078	4	0.9999999999999999	0.30000000000000004	1079.0	0.6786571
1078	4	0.9999999999999999	0.4	1079.0	0.68783885
1078	4	0.9999999999999999	0.5	1079.0	0.68701595
1078	4	0.9999999999999999	0.6	1079.0	0.68683666
1078	4	0.9999999999999999	0.7	1079.0	0.6899056
1078	4	0.9999999999999999	0.7999999999999999	1079.0	0.69652456
1078	5	0.2	0.0	1079.0	0.71980685
1078	5	0.30000000000000004	0.0	1079.0	0.72699237
1078	5	0.30000000000000004	0.1	1079.0	0.7203675
1078	5	0.30000000000000004	0.2	1079.0	0.73096055
1078	5	0.4	0.0	1079.0	0.7417843
1078	5	0.4	0.1	1079.0	0.74158573
1078	5	0.4	0.2	1079.0	0.74595946
1078	5	0.5	0.0	1079.0	0.7252112
1078	5	0.5	0.1	1079.0	0.72253466
1078	5	0.5	0.2	1079.0	0.728718
1078	5	0.5	0.30000000000000004	1079.0	0.73093987
1078	5	0.6	0.0	1079.0	0.7191958
1078	5	0.6	0.1	1079.0	0.72321343
1078	5	0.6	0.2	1079.0	0.7206045
1078	5	0.6	0.30000000000000004	1079.0	0.7280941
1078	5	0.6	0.4	1079.0	0.72847825
1078	5	0.7	0.0	1079.0	0.7081489
1078	5	0.7	0.1	1079.0	0.70326215
1078	5	0.7	0.2	1079.0	0.69782466
1078	5	0.7	0.30000000000000004	1079.0	0.7146619
1078	5	0.7	0.4	1079.0	0.7067969
1078	5	0.7	0.5	1079.0	0.70376784
