ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,Neodym,Russia,20150304,10,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Nickolas,United States,20150302,13,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,Nil_ct,France,20150304,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Nil_ct,France,20150306,16,5,1,81795,16359,1,5
mmViewProblem,16359: BannerRegistration,NotAdam,Australia,20150304,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,OlexandrT,Ukraine,20150305,7,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,PaxosMyth,India,20150304,6,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,Pena,Finland,20150305,8,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,PredictorX,United States,20150302,15,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Progyr,United Arab Emirates,20150304,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Proud2BACoug,United States,20150305,17,5,2,81795,16359,2,2.5
mmViewProblem,16359: BannerRegistration,PuffRing,United States,20150305,1,5,1,81795,16359,1,5
mmViewProblem,16359: BannerRegistration,Qasaur,Sweden,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,RRx,South Korea,20150303,2,5,3,81795,16359,2,2.5
mmViewProblem,16359: BannerRegistration,RRx,South Korea,20150303,3,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,Ra16bit,Russia,20150303,9,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Ra16bit,Russia,20150305,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Raja.Reddy,United States,20150304,3,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Rajpurohit,India,20150305,4,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,RegAse,Iceland,20150303,18,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Rizvanov_de_xXx,Ukraine,20150305,2,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Robert.Beckett,Canada,20150304,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,RobinWang,United States,20150302,13,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,9,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,16,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,Rubanenko,Ukraine,20150303,17,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,SIGCHLD,United States,20150305,23,8,1,130872,16359,1,8
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150304,18,4,1,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150304,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,SePulTribe,Singapore,20150305,4,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,SebM,France,20150302,17,3,1,49077,16359,0,0
mmViewProblem,16359: BannerRegistration,SebM,France,20150303,8,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,Seip_meginu,Lithuania,20150305,6,2,1,32718,16359,0,0
mmViewProblem,16359: BannerRegistration,SoberMonkey,United States,20150304,22,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Sord,United States,20150304,17,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,Steven_Huang,China,20150304,20,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Steven_Huang,China,20150304,21,7,3,114513,16359,3,2.333333333
mmViewProblem,16359: BannerRegistration,Swistakk,Poland,20150305,18,1,1,16359,16359,1,1
