ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:pagePath,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent,ga:timeOnPage
mmViewProblem,16359: BannerRegistration,JK24,Belarus,20150303,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150304,20,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,19,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,20,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,2,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150305,23,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150306,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,JRSSKumarD,United States,20150306,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Jake1164,United States,20150303,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,JavaLinker,Bolivia,20150305,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Jodles,United Kingdom,20150305,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Johan.de.Ruiter,United States,20150302,14,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Jose_Linares,United States,20150302,20,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Joupa,United States,20150305,9,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Kamina,India,20150303,3,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Kaspneo,Russia,20150304,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Kent.Caspersen,Denmark,20150303,15,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,KostikBigOne,Russia,20150303,13,'/www.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,LaguneXXX,Spain,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,LaguneXXX,Spain,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,LaguneXXX,Spain,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,6,2,97557,16259.5,2,3,0
mmViewProblem,16359: BannerRegistration,Lapro,United States,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Lapro,United States,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092&popup=false&lid=3,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Lapro,United States,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Liaksiejka,Belarus,20150303,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,4,2,58534,14633.5,2,2,0
mmViewProblem,16359: BannerRegistration,Maciek.Partyka,Poland,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,MahmoudAGawad,Egypt,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,MahmoudAGawad,Egypt,20150305,12,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Mate38,Brazil,20150305,11,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Mloody2000,France,20150302,14,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,2,2,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,Mojito1,Luxembourg,20150305,2,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,0,0,0
