ga:eventCategory	ga:eventLabel	ga:eventAction	ga:date	ga:eventValue
mmViewProblem	anonymous	16359: BannerRegistration	20150304	8114064
mmViewProblem	anonymous	16359: BannerRegistration	20150305	5758368
mmViewProblem	anonymous	16359: BannerRegistration	20150306	1276002
mmViewProblem	anonymous	16359: BannerRegistration	20150308	16359
mmViewProblem	anonymous	16359: BannerRegistration	20150314	16359
mmViewProblem	anton.gulikov	16359: BannerRegistration	20150305	98154
mmViewProblem	antoshkaplus	16359: BannerRegistration	20150303	49077
mmViewProblem	antslag	16359: BannerRegistration	20150304	65436
mmViewProblem	anubhav11	16359: BannerRegistration	20150305	16359
mmViewProblem	aropan	16359: BannerRegistration	20150303	32718
mmViewProblem	arun.vishnu	16359: BannerRegistration	20150304	16359
mmViewProblem	asavant	16359: BannerRegistration	20150302	16359
mmViewProblem	asmisha	16359: BannerRegistration	20150303	16359
mmViewProblem	asrata	16359: BannerRegistration	20150304	32718
mmViewProblem	assy0000	16359: BannerRegistration	20150303	16359
mmViewProblem	aswmtjdsj	16359: BannerRegistration	20150306	16359
mmViewProblem	athought	16359: BannerRegistration	20150303	16359
mmViewProblem	austincoder	16359: BannerRegistration	20150305	16359
mmViewProblem	awyeasting	16359: BannerRegistration	20150304	16359
mmViewProblem	azneye	16359: BannerRegistration	20150303	163590
mmViewProblem	azneye	16359: BannerRegistration	20150304	32718
mmViewProblem	back2back	16359: BannerRegistration	20150304	16359
mmViewProblem	baseballnut	16359: BannerRegistration	20150303	16359
mmViewProblem	bcurcio	16359: BannerRegistration	20150306	16359
mmViewProblem	bdepwgjqet	16359: BannerRegistration	20150303	49077
mmViewProblem	benedikt.fuisz	16359: BannerRegistration	20150302	16359
mmViewProblem	bijay.bisht	16359: BannerRegistration	20150303	16359
mmViewProblem	binon	16359: BannerRegistration	20150302	32718
mmViewProblem	binon	16359: BannerRegistration	20150303	16359
mmViewProblem	biomat	16359: BannerRegistration	20150305	16359
mmViewProblem	bluenet	16359: BannerRegistration	20150302	65436
mmViewProblem	bnu05pp	16359: BannerRegistration	20150304	16359
